path,run,split,class,format,file_size,is_corrupt,height,width,aspect_ratio,resolution,brightness,blur,odd_size_score,is_odd_size_issue,odd_aspect_ratio_score,is_odd_aspect_ratio_issue,low_information_score,is_low_information_issue,light_score,is_light_issue,grayscale_score,is_grayscale_issue,dark_score,is_dark_issue,blurry_score,is_blurry_issue,exact_duplicates_score,is_exact_duplicates_issue,near_duplicates_score,near_duplicates_group,is_near_duplicates_issue,has_odd_size,has_dark,has_exact_dup,has_blur,issues,prep_path,prep_status
_common/data/raw/train/cataract/0_left.jpg,rgb_v1,train,cataract,jpeg,42589,False,512,512,1.0,262144,71,258.66,0.9285714285714286,False,1.0,False,0.6204835267878875,False,1.0,False,1,False,0.4951909289680666,False,0.8059955458214916,False,1.0,False,1.0,,False,False,False,False,False,,,
_common/data/raw/train/cataract/103_left.jpg,rgb_v1,train,cataract,jpeg,46733,False,512,512,1.0,262144,101,368.18,0.9285714285714286,False,1.0,False,0.69810496057209,False,1.0,False,1,False,0.6382337821132056,False,0.8038896374120831,False,1.0,False,1.0,,False,False,False,False,False,,,
_common/data/raw/train/cataract/1062_right.jpg,rgb_v1,train,cataract,jpeg,52031,False,512,512,1.0,262144,135,479.9,0.9285714285714286,False,1.0,False,0.7077269867211886,False,1.0,False,1,False,0.8238417708275333,False,0.8302681656882642,False,1.0,False,1.0,,False,False,False,False,False,,,
_common/data/raw/train/cataract/1083_left.jpg,rgb_v1,train,cataract,jpeg,41027,False,512,512,1.0,262144,58,134.3,0.9285714285714286,False,1.0,False,0.7850849540865286,False,1.0,False,1,False,0.635227786418554,False,0.6492981397949534,False,1.0,False,1.0,,False,False,False,False,True,blur,rgb_v1/data/prep/step3/cataract/1083_left.jpg,
_common/data/raw/train/cataract/1084_right.jpg,rgb_v1,train,cataract,jpeg,65018,False,512,512,1.0,262144,92,408.1,0.9285714285714286,False,1.0,False,0.7033842717237092,False,1.0,False,1,False,0.6969364780830757,False,0.7589497690524598,False,1.0,False,1.0,,False,False,False,False,False,,,
_common/data/raw/train/cataract/1102_left.jpg,rgb_v1,train,cataract,jpeg,52388,False,512,512,1.0,262144,104,356.18,0.9285714285714286,False,1.0,False,0.7170316603606389,False,1.0,False,1,False,0.7520080576430911,False,0.7928688896316561,False,1.0,False,1.0,,False,False,False,False,False,,,
_common/data/raw/train/cataract/1102_right.jpg,rgb_v1,train,cataract,jpeg,47758,False,512,512,1.0,262144,102,308.06,0.9285714285714286,False,1.0,False,0.6968680758197162,False,1.0,False,1,False,0.736127391897024,False,0.7956883472473028,False,1.0,False,1.0,,False,False,False,False,False,,,
_common/data/raw/train/cataract/1115_left.jpg,rgb_v1,train,cataract,jpeg,43373,False,512,512,1.0,262144,107,634.09,0.9285714285714286,False,1.0,False,0.7542612705113272,False,1.0,False,1,False,0.9945869952105282,False,0.7896682362828041,False,1.0,False,1.0,,False,False,False,False,False,,,
_common/data/raw/train/cataract/1126_right.jpg,rgb_v1,train,cataract,jpeg,47936,False,512,512,1.0,262144,144,715.64,0.9285714285714286,False,1.0,False,0.6588903126016235,False,1.0,False,1,False,0.8883723306834108,False,0.8619640837952034,False,1.0,False,1.0,,False,False,False,False,False,,,
_common/data/raw/train/cataract/112_right.jpg,rgb_v1,train,cataract,jpeg,39446,False,512,512,1.0,262144,92,303.06,0.9285714285714286,False,1.0,False,0.6652235303778697,False,1.0,False,1,False,0.581803040169701,False,0.8139030236420862,False,1.0,False,1.0,,False,False,False,False,False,,,
